date,PAM_shr_outs (m),SUPV_shr_outs (m),TEO_shr_outs (m),EDN_shr_outs (m),BBAR_shr_outs (m),LOMA_shr_outs (m),YPF_shr_outs (m),BMA_shr_outs (m),TS_shr_outs (m),CEPU_shr_outs (m),TGS_shr_outs (m),AGRO_shr_outs (m),CAAP_shr_outs (m),GGAL_shr_outs (m),CRESY_shr_outs (m),BIOX_shr_outs (m),VIST_shr_outs (m)
31-Dec-23,,102.373,482.512,,204.237,,,63.942,578.065,,,106.738,161.414,182.218,58.681,63.9,100.733
30-Sep-23,53.816,102.374,482.512,86.628,204.237,114.223,391.535,63.942,581.61,149.143,150,107.674,160.283,182.218,63.936,62.847,101.013
30-Jun-23,53.973,102.382,482.512,86.628,204.237,114.231,391.439,63.942,581.61,149.339,150,107.9,162.3,182.218,60.641,62.578,100.335
31-Mar-23,54.288,102.387,482.512,86.628,204.237,114.24,391.439,63.942,581.61,149.341,150,107.8,162.2,182.218,71.208,63.1,97.696
31-Dec-22,54.327,103.629,521.88,86.628,204.237,114.429,391.519,63.942,581.61,149.34,149.999,109.1,160.9,182.218,70.665,61.7,127.329
30-Sep-22,54.327,105.356,521.88,86.628,204.237,114.5325,393.185,63.942,581.61,149.353,150,110,160.8,182.218,69.975,61.7,86.348
30-Jun-22,54.327,105.444,521.88,86.628,204.237,114.636,393.002,63.942,581.61,149.442,150,113.6,162.5,182.218,68.911,45.8,95.784
31-Mar-22,54.367,105.623,482.512,86.628,204.237,114.646,392.961,63.942,581.61,149.677,150,110.4,160.7,182.218,58.506,41.1,95.105
31-Dec-21,54.327,105.687,482.512,86.628,204.333,115.204,392.96,63.9,581.61,147.62,150,112.6,160.6,182.256,63.698,42.4,95.095
30-Sep-21,55.586,105.687,482.512,86.628,204.333,115.691,392.667,63.9,581.61,149.293,150,116,160.6,182.256,68.541,42.4,94.446
30-Jun-21,56.176,106.844,482.512,86.628,206.333,116.696,392.526,64.6,581.61,149.715,150,117.9,160.6,184.233,45.92,40.6,93.114
31-Mar-21,57.081,105.687,482.512,86.628,204.333,116.629,392.514,63.9,581.61,150.218,150,116.8,160.5,182.256,15.743,38.8,89.779
31-Dec-20,60.189,105.687,482.512,86.628,204.333,116.696,392.572,63.9,581.61,149.771,155.678,117.7,161.8,184.233,50.707,39,87.511
30-Sep-20,62.392,105.687,482.51,86.628,204.333,116.696,392.48,63.9,581.61,149.599,151.616,117.7,160,176.325,52.315,36.4,87.481
30-Jun-20,62.392,106.844,482.51,86.628,206.333,116.696,392.344,64.6,581.61,149.486,151.848,119.3,161.8,178.178,65.094,37.3,87.133
31-Mar-20,64.555,105.687,482.51,86.628,204.333,116.696,392.333,63.9,581.61,150.155,154.497,117.1,160,176.325,49.998,34.7,86.891
31-Dec-19,70.771,105.687,482.512,86.606,204.333,116.696,392.326,63.9,581.61,149.222,150.194,118.2,161.8,176.325,49.809,36.1,86.926
30-Sep-19,71.99,105.687,482.478,86.635,204.333,116.696,392.241,63.9,581.61,149.578,153.516,116.8,160,176.325,26.287,36.1,86.627
30-Jun-19,72.935,106.844,482.478,86.635,206.333,116.696,392.198,64.6,581.61,149.332,154.698,117.9,161.8,178.178,53.761,36.1,78.868
31-Mar-19,72.935,105.687,707.058,88.161,204.333,116.696,392.324,63.9,581.61,150.375,157.103,116.8,160,176.325,49.791,29.8,75.093
31-Dec-18,73.643,105.687,482.547,87.129,204.333,116.696,389.061,64.3,581.61,149.571,155.71,115.6,160,176.325,54.049,36,70.418
30-Sep-18,78.206,105.687,707.715,88.505,204.333,116.696,395.796,66.2,581.61,149.31,156.804,117,160,176.325,51.147,36.1,70.256
30-Jun-18,80.016,105.687,707.817,89.103,204.333,116.696,391.947,67,581.61,151.872,158.11,117,165,176.325,54.319,28.1,42.513
31-Mar-18,80.016,105.687,707.817,88.905,204.333,116.696,391.947,67,581.61,150.929,157.919,118.8,155.3,176.325,54.021,28.1,42.513
31-Dec-17,76.16,111.007,318.124,89.004,204.333,116.696,391.947,67,581.61,146.857,158.302,119.6,160,176.696,56.896,28.1,
